Beat,Title,KPI,Benchmark Range (45th percentile),Benchmark Range (60th percentile),Metaphor: ReFantazio (Actuals),Other Internal Title (Actuals) - YLAD: Infinite Wealth for Crown; P3R for Progress
Announcement,Crown,MindShare,0.03%,0.05%,0.05%,0.02%
Announcement,Crown,Viewership,"9,861,563","10,786,032","3,500,000","9,400,000"
Announcement,Crown,Channel Views (Press),"1,594,759","2,519,580","243,000","480,000"
Announcement,Crown,Channel Views (Publisher),"989,358","1,316,871","2,200,000","4,000,000"
Announcement,Crown,Channel Views (Influencer),"5,026,584","6,968,464","658,000","1,800,000"
Announcement,Crown,Channel Views (Partners),"1,629,359","2,624,734","419,000","221,000"
Announcement,Crown,Channel Counts (Press),674,718,25,40
Announcement,Crown,Channel Counts (Publisher),7,8,5,8
Announcement,Crown,Channel Counts (Influencer),424,600,167,121
Announcement,Crown,Channel Counts (Partners),3,4,0,1
3 weeks before launch,Crown,MindShare,0.54%,0.63%,0.29%,0.28%
3 weeks before launch,Crown,Viewership,"209,860,875","356,831,144","65,800,000","144,000,000"
3 weeks before launch,Crown,Channel Views (Press),"29,988,083","30,288,035","5,100,000","4,200,000"
3 weeks before launch,Crown,Channel Views (Publisher),"24,088,316","28,945,926","48,100,000","79,900,000"
3 weeks before launch,Crown,Channel Views (Influencer),"117,997,965","202,744,968","10,000,000","45,100,000"
3 weeks before launch,Crown,Channel Views (Partners),"18,614,856","24,336,019","2,500,000","7,900,000"
3 weeks before launch,Crown,Channel Counts (Press),"1,106","1,146",96,98
3 weeks before launch,Crown,Channel Counts (Publisher),12,14,12,10
3 weeks before launch,Crown,Channel Counts (Influencer),"3,281","5,718",666,818
3 weeks before launch,Crown,Channel Counts (Partners),13,13,4,4
Launch,Crown,MindShare,1.14%,2.91%,1.05%,0.88%
Launch,Crown,Viewership,"584,618,147","1,152,262,218","163,000,000","219,000,000"
Launch,Crown,Channel Views (Press),"47,270,857","52,427,931","13,600,000","15,100,000"
Launch,Crown,Channel Views (Publisher),"35,443,222","35,637,824","62,100,000","96,000,000"
Launch,Crown,Channel Views (Influencer),"449,039,230","973,175,848","75,600,000","85,400,000"
Launch,Crown,Channel Views (Partners),"31,083,880","32,483,761","11,600,000","16,800,000"
Launch,Crown,Channel Counts (Press),"1,007","1,144",186,174
Launch,Crown,Channel Counts (Publisher),14,14,15,13
Launch,Crown,Channel Counts (Influencer),"7,497","7,791","2,292","1,781"
Launch,Crown,Channel Counts (Partners),21,21,6,13
