Codename,Product,"Sub
#","Ver
#",Region,1st Party,Platform,"Product
Code",Submitter,Sub Date,Sub Month,Result,"Result
Date","Days
in Test",Fail Reason,"Notes
(detail Fail reason if any)","Build Path
hyperlink",
Terra,Patch,1,1.3.2.0,WW,Microsoft,XB1,9NJZSFP2ZNVK,SOA,3-Apr-26,Apr-26,PASS,3-Apr-26,1,,XB-only demo patch (sign-off 4/3),,
Terra,Patch,1,2.3.2.0,WW,Microsoft,XBS,9NJZSFP2ZNVK,SOA,3-Apr-26,Apr-26,PASS,3-Apr-26,1,,XB-only demo patch (sign-off 4/3),,
Libra,Patch,1,TBD,WW,Microsoft,MSPC,9NKK6Z0K3RH2,SOA,10-Apr-26,Apr-26,PENDING,,-32945,,Denuvo patch (sign-off 4/10),,
Libra,Patch,1,TBD,WW,Valve,Steam,22672075,SOA,10-Apr-26,Apr-26,PENDING,,-32945,,Denuvo patch (sign-off 4/10),,
APK2,Patch,1,1.80,WW,Nintendo,NSW,HAC-P-BC7VB,SOJ,16-Apr-26,Apr-26,PENDING,,-32949,,1.80 patch (sign-off 4/15),,
APK2,DLC,1,1.00,WW,Nintendo,NSW,HAC-M-BC7VB,SOJ,16-Apr-26,Apr-26,PENDING,,-32949,,Doma DLC7 (sign-off 4/15),,
APK2,Patch,1,1.80,WW,Sony,PS5,PPSA-25427,SOJ,17-Apr-26,Apr-26,PENDING,,-32950,,1.80 patch (sign-off 4/16),,
APK2,DLC,1,1.00,WW,Sony,PS5,PPSA-25427,SOJ,17-Apr-26,Apr-26,PENDING,,-32950,,Doma DLC7 (sign-off 4/16),,
APK2,Patch,1,1.80,WW,Sony,PS4,CUSA-50716,SOJ,17-Apr-26,Apr-26,PENDING,,-32950,,1.80 patch (sign-off 4/16),,
APK2,DLC,1,1.00,WW,Sony,PS4,CUSA-50716,SOJ,17-Apr-26,Apr-26,PENDING,,-32950,,Doma DLC7 (sign-off 4/16),,
APK2,Patch,1,1.80,WW,Microsoft,XB1,9P95J9QZ0SW4,SOA,20-Apr-26,Apr-26,PENDING,,-32951,,1.80 patch (sign-off 4/17),,
APK2,DLC,1,1.00,WW,Microsoft,XB1,9N0LF2J5BQ3M,SOA,20-Apr-26,Apr-26,PENDING,,-32951,,Doma DLC7 (sign-off 4/17),,
